lr_bull,entropy_coef_bull,lr_bear,entropy_coef_bear,lr_sideways,entropy_coef_sideways,avg_portfolio_value
0.00026663099972129247,0.04284709261868258,0.00024086278856848585,0.07191503101547732,9.59926247515686e-06,0.07800277619120793,118315.17216774664
6.635119445083346e-05,0.05796942970226102,1.9050287104581614e-05,0.04010175566612037,1.797355639508693e-05,0.03241508933795411,102135.95833955651
3.086871520042577e-05,0.06947551771852692,0.00015410076665458075,0.06317920176870505,7.594765276659941e-06,0.008372648456358435,100907.44981882577
0.00026586450702070986,0.04278634908378196,3.940587682425831e-05,0.049208477679234246,3.0240765568406563e-05,0.035772891880902186,92781.9266465918
6.829987298679003e-05,0.065472130746982,5.5924595764226596e-05,0.02345128751822862,9.462166221930939e-05,0.07659959501929951,107942.85752866557
0.00035810375732855737,0.002798195504294899,2.2274759951625928e-05,0.015408224184684675,1.4261754674358807e-06,0.08898656996067712,120068.85082969193
0.00031677974839835213,0.06934032436025145,0.00010556665253909878,0.04642680557366681,1.3704442897802276e-05,0.030254945395354546,105626.6624380324
9.876829861079054e-05,0.06832629134230998,0.0006813924975719216,0.010892895223970904,9.794529426654057e-06,0.023283592998597863,93828.52776564656
7.476895754268588e-05,0.07515429937886349,9.157654530766864e-05,0.07977284088958812,3.6762570355927553e-06,0.04334182392266679,108613.51091338729
1.0459590919027703e-05,0.0340795982010828,0.00023908042155386614,0.08693692898411816,3.4324770611691697e-06,0.045674791685725594,112461.8447647436
1e-05,0.1,0.001,0.1,1e-06,0.1,100439.26575366437
0.0001719550469317418,0.01008956832892445,6.944256090590944e-05,0.046017157777156176,2.8206954596326575e-06,0.08104331430468058,116932.5435697066
0.000360902790219943,0.00609259710805228,1.99523988591243e-05,0.02577111115062224,4.115942578749785e-06,0.0882786984017579,113262.29283279683
0.00025300937807518607,0.013540690814634174,0.00012008716359385148,0.05771369412725163,1.0916785358184916e-06,0.07457074841229692,108573.99037404098
0.000808163529768189,0.0349736638759982,0.0003272079834095072,0.09661248520218738,7.404410092746974e-05,0.09280299643573808,121136.59477201197
0.001,0.07283912114614317,0.001,0.1,0.0001,0.0976970614172876,113750.02588320128
