stop_loss_atr_multiplier,trend_reward_bonus,final_portfolio_value
1.6064776602616138,0.040711773154670644,106936.86071628504
1.6064776602616138,0.040711773154670644,144549.61955185304
1.595442427513431,0.047978757753869325,111879.62212980501
1.4955594667162986,0.04950069404780198,154664.33488701444
1.4554621863545094,0.04449235742556525,111973.00999310843
1.3199753813151922,0.04002543891653009,129592.68568058051
1.5636585046688083,0.03810377233448853,124754.06132181383
1.37237963847696,0.04736887942963173,123878.48259774518
1.5469511998370118,0.045794800442176264,126570.31124009019
1.4701285890320381,0.03209316211408961,114969.25003443858
