lr_bull,entropy_coef_bull,lr_bear,entropy_coef_bear,lr_sideways,entropy_coef_sideways,final_portfolio_value
0.00026663099972129247,0.04284709261868258,0.00024086278856848585,0.07191503101547732,9.599262475156859e-05,0.07800277619120793,101825.88850207672
6.635119445083346e-05,0.05796942970226102,1.9050287104581614e-05,0.04010175566612037,0.0001797355639508695,0.03241508933795411,87655.75534738206
3.086871520042577e-05,0.06947551771852692,0.00015410076665458075,0.06317920176870505,7.594765276659941e-05,0.008372648456358435,107932.81900929144
0.00026586450702070986,0.04278634908378196,3.940587682425831e-05,0.049208477679234246,0.0003024076556840653,0.035772891880902186,109808.11105699238
6.829987298679003e-05,0.065472130746982,5.5924595764226596e-05,0.02345128751822862,0.000946216622193094,0.07659959501929951,113503.19662425084
0.00035810375732855737,0.002798195504294899,2.2274759951625928e-05,0.015408224184684675,1.4261754674358807e-05,0.08898656996067712,88921.07131088659
0.00031677974839835213,0.06934032436025145,0.00010556665253909878,0.04642680557366681,0.00013704442897802277,0.030254945395354546,116384.71738257479
9.876829861079054e-05,0.06832629134230998,0.0006813924975719216,0.010892895223970904,9.794529426654058e-05,0.023283592998597863,92270.22528411502
7.476895754268588e-05,0.07515429937886349,9.157654530766864e-05,0.07977284088958812,3.676257035592755e-05,0.04334182392266679,110338.92710976527
1.0459590919027703e-05,0.0340795982010828,0.00023908042155386614,0.08693692898411816,3.43247706116917e-05,0.045674791685725594,138383.27089682716
1e-05,0.09304691809083243,0.0002077093817189568,0.08310996914261906,0.0004094204283792332,0.05760427379591968,120420.49490350625
1.0486859240392191e-05,0.033165702895520614,0.0002395455377235603,0.08697901898264288,3.292669278388555e-05,0.045498011607443295,122048.18093413042
4.674271996829239e-05,0.03489784792351096,1.177733009463221e-05,0.09037213335608543,0.0007066397818489232,0.008565284967223814,105997.35735850119
1e-05,0.0893695170174069,4.234464246963568e-05,0.09124139805133491,4.1306086866250637e-05,0.0888556840520092,112505.69812730167
1e-05,0.017926363260664963,1.2429109420998577e-05,0.1,1.3254538125943734e-05,0.030322388394961743,122839.13838307209
1e-05,0.014395104909025395,6.207622367143285e-05,0.03734340448236439,1.7843930555881217e-05,0.03785885567637423,132616.00257942648
1.602930109216824e-05,0.014898307445755985,2.960237019995983e-05,0.004488655025271595,0.00011910940188101784,0.043326460196938844,82962.52870819619
1e-05,0.0,7.130044793412582e-05,0.08871932418796641,2.5662343943838074e-05,0.023219041647072388,106487.73170468773
1e-05,0.046344227112162684,3.641584470999461e-05,0.05472759810958905,2.0111759540865245e-05,0.046813730359579364,132435.35018523704
1e-05,0.0721114572745164,0.00013172876133451747,0.0033925401438973644,0.00020036893164111492,0.041970372992988204,96251.77744927947
1.7077966168711082e-05,0.0061308818169088794,0.0005805817731981164,0.0020717252971659415,1.5466816136721153e-05,0.047735832934227174,78130.372380274
1e-05,0.023721361298195548,4.430568353703982e-05,0.057870766940171875,5.258886498922597e-05,0.03943987604870769,109169.69073630721
1e-05,0.09495308124768521,2.683161825586085e-05,0.042287366041727406,0.00012411424845272108,0.06998437186565766,123301.76671007753
1e-05,0.09808016841594806,2.3708318460486864e-05,0.04210221318723892,1.0418804415561767e-05,0.05100081475536459,98645.1813192457
0.001,0.05863854744294096,0.0006898285933831557,0.1,1.0329897508992162e-05,0.07286795755177958,112380.058374424
0.001,0.014839318938785534,0.0003033093762326526,0.1,0.0005844572593141853,0.06501156806217494,107593.54108939896
1e-05,0.06435824143494154,0.0006671207706150875,0.1,0.0005439154649746144,0.0695845213105694,105273.83648491648
0.0009835861161514195,0.008508651100405397,1.3729283561009909e-05,0.07119441978686568,1.0345356579963636e-05,0.09546828212217262,135071.19097815698
