lr_bull,entropy_coef_bull,lr_bear,entropy_coef_bear,lr_sideways,entropy_coef_sideways,lcb_score,mean_score,std_dev_score
0.00026663099972129247,0.04284709261868258,0.00024086278856848585,0.07191503101547732,9.59926247515686e-06,0.07800277619120793,101840.10435911539,103434.37365011603,1594.2692910006497
6.635119445083346e-05,0.05796942970226102,1.9050287104581614e-05,0.04010175566612037,1.797355639508693e-05,0.03241508933795411,103984.5946043214,106173.32794552937,2188.7333412079533
3.086871520042577e-05,0.06947551771852692,0.00015410076665458075,0.06317920176870505,7.594765276659941e-06,0.008372648456358435,103132.84055989358,108216.65517632832,5083.814616434739
0.00026586450702070986,0.04278634908378196,3.940587682425831e-05,0.049208477679234246,3.0240765568406563e-05,0.035772891880902186,104416.08114340017,106546.09219591296,2130.0110525128025
6.829987298679003e-05,0.065472130746982,5.5924595764226596e-05,0.02345128751822862,9.462166221930939e-05,0.07659959501929951,101765.35595214907,106942.19321141792,5176.837259268849
0.00035810375732855737,0.002798195504294899,2.2274759951625928e-05,0.015408224184684675,1.4261754674358807e-06,0.08898656996067712,101793.83194166163,108434.10758715635,6640.2756454947275
0.00031677974839835213,0.06934032436025145,0.00010556665253909878,0.04642680557366681,1.3704442897802276e-05,0.030254945395354546,104219.84628023623,105802.09761132934,1582.251331093116
9.876829861079054e-05,0.06832629134230998,0.0006813924975719216,0.010892895223970904,9.794529426654057e-06,0.023283592998597863,108805.00770172292,111912.80750626023,3107.799804537305
7.476895754268588e-05,0.07515429937886349,9.157654530766864e-05,0.07977284088958812,3.6762570355927553e-06,0.04334182392266679,101874.43083169582,108391.21724555401,6516.786413858197
1.0459590919027703e-05,0.0340795982010828,0.00023908042155386614,0.08693692898411816,3.4324770611691697e-06,0.045674791685725594,98010.04465307861,105068.17698036747,7058.132327288853
0.001,0.0,1e-05,0.0,0.0001,0.0,116984.72139841602,118513.06711427947,1528.3457158634528
1e-05,0.0,1e-05,0.0,0.0001,0.0,102816.62639548953,105517.92676084589,2701.300365356368
0.00026663099972129247,0.04284709261868258,0.00024086278856848585,0.07191503101547732,9.59926247515686e-06,0.07800277619120793,105813.1806880419,106749.53809248497,936.3574044430685
6.635119445083346e-05,0.05796942970226102,1.9050287104581614e-05,0.04010175566612037,1.797355639508693e-05,0.03241508933795411,105988.0962296877,107610.83345347842,1622.737223790729
3.086871520042577e-05,0.06947551771852692,0.00015410076665458075,0.06317920176870505,7.594765276659941e-06,0.008372648456358435,109931.68276670987,110935.70061674468,1004.0178500348063
0.00026586450702070986,0.04278634908378196,3.940587682425831e-05,0.049208477679234246,3.0240765568406563e-05,0.035772891880902186,99396.58524386196,103496.95521646827,4100.369972606304
6.829987298679003e-05,0.065472130746982,5.5924595764226596e-05,0.02345128751822862,9.462166221930939e-05,0.07659959501929951,101810.44278488123,105414.4417759584,3603.9989910771737
0.00035810375732855737,0.002798195504294899,2.2274759951625928e-05,0.015408224184684675,1.4261754674358807e-06,0.08898656996067712,98335.22888151469,101788.42415484176,3453.1952733270755
0.00031677974839835213,0.06934032436025145,0.00010556665253909878,0.04642680557366681,1.3704442897802276e-05,0.030254945395354546,102574.18409444831,107817.17311871068,5242.989024262359
9.876829861079054e-05,0.06832629134230998,0.0006813924975719216,0.010892895223970904,9.794529426654057e-06,0.023283592998597863,104331.50444481368,112415.21175019478,8083.70730538111
7.476895754268588e-05,0.07515429937886349,9.157654530766864e-05,0.07977284088958812,3.6762570355927553e-06,0.04334182392266679,100417.22493692588,102785.96533020087,2368.740393274983
1.0459590919027703e-05,0.0340795982010828,0.00023908042155386614,0.08693692898411816,3.4324770611691697e-06,0.045674791685725594,103663.29148134687,107957.00365232995,4293.712170983077
0.001,0.1,0.001,0.1,1e-06,0.0,101455.01877780176,107566.87568605435,6111.856908252596
0.001,0.09774466292358994,4.276268359735552e-05,0.0,2.932711947416896e-06,0.0,108993.29369886573,111187.18394265755,2193.890243791822
0.001,0.02853433703014347,2.481137064751165e-05,0.025598428593847807,6.935805035917028e-05,0.0,102849.07989449234,109759.62628359879,6910.546389106436
0.001,0.07304894006163604,0.0005742653097839523,0.0,2.1172594046316966e-06,0.017596606159441388,99486.86821961221,104901.13713333117,5414.268913718957
0.001,0.05738818554371564,1.713255601651887e-05,0.0058047947974954675,1.8539345060729705e-05,0.0,105221.46244078164,106079.79048792964,858.3280471480022
0.0009953786170671854,0.01494008490934056,4.451072987152181e-05,0.0,2.5309513245189864e-06,0.003602973533128606,101344.59379472028,108916.84669392944,7572.252899209171
0.001,0.0,0.0006765291604745565,0.08400505999032655,8.963070221575784e-05,0.025773637653542694,100188.84328748316,107989.60753914487,7800.764251661701
9.436819650415786e-05,0.03796492253294778,0.0008659992249790291,0.010680769763202556,3.2989601012656385e-06,0.0241115393767962,106306.459786197,110462.36921056766,4155.9094243706595
0.0003830043132423372,0.023200802213241164,1.557820765264211e-05,0.0,3.62144317270507e-05,0.0,108990.208692309,110595.1451085441,1604.9364162351037
0.0009453010963999773,0.0,1e-05,0.0,0.0001,0.0,98917.3972555555,106063.12639621751,7145.729140662025
0.00037282214549263544,0.030289769753989223,4.864311682020335e-05,0.009613717153094817,2.5610992778968982e-05,0.0008775628416141991,104200.00242183397,105306.63603994843,1106.6336181144552
